task_id,task_description,target_environment,ability_dimension,difficulty,target_entity_id,task_template,structure_variant,num_assertions,verifier_executed
task_0080,"In GitLab, find the issue whose state is open and whose title is mobile layout broken; then find the issue whose state is closed and whose title is webhook delivery retry. For the issue titled mobile layout broken: Add a comment containing ""blocked by upstream dependency"". For the issue titled mobile layout broken: Add the ""performance"" label. For the issue titled mobile layout broken: Close the issue. For the issue titled webhook delivery retry: Reopen the issue. For the issue titled webhook delivery retry: Assign the issue to dev_alice.",gitlab,Long-horizon,L3,gitlab_issue_016,comment_label_close_issue,long_horizon_L3_two_step_chain_multi_condition,5,not_executed
task_0085,"In GitLab, find the issue with IID 566; then find the issue whose state is open and whose labels is help wanted. For the issue #566: Add a comment containing ""needs retry logic"". For the issue #566: Add the ""documentation"" label. For the issue #566: Close the issue. For the issue with state open: Add a comment containing ""ready for code review"". For the issue with state open: Add the ""backend"" label. For the issue with state open: Close the issue.",gitlab,Long-horizon,L4,gitlab_issue_001,comment_label_close_issue,long_horizon_L4_two_step_chain_single_condition,6,not_executed
task_0090,"In GitLab, find the issue with IID 316 and whose state is closed; then find the issue whose state is closed and whose title is container build timeout; then find the issue with IID 18 and whose state is open. For the issue #316: Reopen the issue. For the issue #316: Add a comment containing ""moved to next sprint"". For the issue #316: Add the ""enhancement"" label. For the issue titled container build timeout: Reopen the issue. For the issue titled container build timeout: Add a comment containing ""confirmed as duplicate"". For the issue titled container build timeout: Add the ""performance"" label. For the issue #18: Add a comment containing ""blocked by upstream dependency"". For the issue #18: Assign the issue to qa_bob. For the issue #18: Close the issue.",gitlab,Long-horizon,L5,gitlab_issue_010,reopen_comment_label,long_horizon_L5_multi_action_chain_exclusion_condition,9,not_executed
task_0095,"In the shopping site, find the product variant whose product name is Aeon capri. Add it to the cart with quantity 1.",shopping,Long-horizon,L1,shopping_variant_019,add_to_cart,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0098,"In the shopping site, find the product whose product name is a make up removal kit. Write a 1-star review containing ""would not recommend"".",shopping,Long-horizon,L2,shopping_product_008,write_review,long_horizon_L2_single_action_direct_ref,1,not_executed
task_0101,"In the shopping site, find the product whose category is fitness and whose product name is chairs; then find the product whose product name is Cora Pant. For the product named chairs: Add it to the cart with quantity 1. For the product named chairs: Write a 5-star review containing ""perfect fit"". For the product named Cora Pant: Add it to the cart with quantity 1. For the product named Cora Pant: Write a 2-star review containing ""not as described"".",shopping,Long-horizon,L3,shopping_product_031,cart_and_review,long_horizon_L3_two_step_chain_multi_condition,4,not_executed
task_0104,"In the shopping site, find the product whose product name is chair; then find the product whose category is clothing and whose product name is Aeno capri. For the product named chair: Add it to the cart with quantity 1. For the product named chair: Write a 4-star review containing ""good value"". For the product named Aeno capri: Add it to the cart with quantity 1. For the product named Aeno capri: Update the cart quantity to 2. For the product named Aeno capri: Write a 3-star review containing ""meets expectations"".",shopping,Long-horizon,L4,shopping_product_030,cart_and_review,long_horizon_L4_two_step_chain_single_condition,5,not_executed
task_0107,"In the shopping site, find the product whose category is home & kitchen and whose product name is 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts; then find the product whose category is sports and whose product name is andobil Original Magnetic Car Vent Mount Compatible with MagSafe [Case Friendly] Car Mount for iPhone 13 Pro Max 12 Mini [Powerful Magnet] Air Vent Car Phone Holder, Cell Phone Holder for Most of Car; then find the product whose category is toys & games and whose product name is Bluetooth headphones from Sony. For the product named 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts: Add it to the cart with quantity 1. For the product named 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts: Write a 1-star review containing ""would not recommend"". For the product named 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts: Remove it from the cart. For the product named andobil Original Magnetic Car Vent Mount Compatible with MagSafe [Case Friendly] Car Mount for iPhone 13 Pro Max 12 Mini [Powerful Magnet] Air Vent Car Phone Holder, Cell Phone Holder for Most of Car: Add it to the cart with quantity 1. For the product named andobil Original Magnetic Car Vent Mount Compatible with MagSafe [Case Friendly] Car Mount for iPhone 13 Pro Max 12 Mini [Powerful Magnet] Air Vent Car Phone Holder, Cell Phone Holder for Most of Car: Write a 3-star review containing ""average performance"". For the product named andobil Original Magnetic Car Vent Mount Compatible with MagSafe [Case Friendly] Car Mount for iPhone 13 Pro Max 12 Mini [Powerful Magnet] Air Vent Car Phone Holder, Cell Phone Holder for Most of Car: Remove it from the cart. For the product named Bluetooth headphones from Sony: Add it to the cart with quantity 1. For the product named Bluetooth headphones from Sony: Write a 5-star review containing ""excellent quality"". For the product named Bluetooth headphones from Sony: Remove it from the cart.",shopping,Long-horizon,L5,shopping_product_006,add_review_remove,long_horizon_L5_multi_action_chain_exclusion_condition,6,not_executed
task_0004,"In GitLab, find the issue whose title is CORS policy error. Assign the issue to ericwbailey.",gitlab,Memory,L1,gitlab_issue_013,assign_issue,memory_L1_lookup_direct_ref,1,not_executed
task_0009,"In GitLab, find the issue whose state is closed. Add the ""monitoring"" label.",gitlab,Memory,L2,gitlab_issue_019,add_label_to_issue,memory_L2_lookup_single_condition,1,not_executed
